metro_title,primary_state,region,business_key,business_type,business_feasibility_score,business_feasibility_rank,feasibility_band,entry_strategy,strategy_guidance,market_strength_probability,category_fit_score,whitespace_opportunity_score,momentum_score,recommendation_summary,strength_1,strength_2,strength_3,risk_1,risk_2,recent_unemployment_change,population,median_income,unemployment_rate
"New York-Newark-Jersey City, NY-NJ",NY,Northeast,restaurant,Restaurant / Food Service,25.865787047475486,145,Medium,Selective Expansion Bet,"Worth evaluating carefully, but not a top-priority entry market.",0.2669186560565871,0.23938270411714646,35.16633889742723,67.99999999999999,"Selective Expansion Bet: strongest signals are low unemployment and recent labor momentum, while the main watchout is category demand footprint.",Low unemployment,Recent labor momentum,Economic diversity,Category demand footprint,Payroll efficiency,0.20000000000000018,19940274,99852,4.5
"Los Angeles-Long Beach-Anaheim, CA",CA,West,restaurant,Restaurant / Food Service,24.414615290040807,153,Medium,Selective Expansion Bet,"Worth evaluating carefully, but not a top-priority entry market.",0.22525198938992044,0.2882325344248793,27.85888513266795,47.99999999999999,"Selective Expansion Bet: strongest signals are low unemployment and economic diversity, while the main watchout is category demand footprint.",Low unemployment,Economic diversity,Business density,Category demand footprint,Payroll efficiency,0.7000000000000002,12927614,96405,5.4
"Chicago-Naperville-Elgin, IL-IN",IL,Midwest,restaurant,Restaurant / Food Service,60.173986047215536,52,High,White-Space Opportunity,Strong overall market with room for category expansion.,0.7697402597402597,0.20973892884657863,55.876551749914825,48.00000000000003,"White-Space Opportunity: strongest signals are low unemployment and economic diversity, while the main watchout is category demand footprint.",Low unemployment,Economic diversity,Recent labor momentum,Category demand footprint,Payroll efficiency,0.6999999999999993,9406924,90770,5.1
"Dallas-Fort Worth-Arlington, TX",TX,South,restaurant,Restaurant / Food Service,57.221308797950165,63,High,White-Space Opportunity,Strong overall market with room for category expansion.,0.7270265445213259,0.21098168938191186,59.035833149022686,71.99999999999999,"White-Space Opportunity: strongest signals are low unemployment and recent labor momentum, while the main watchout is category demand footprint.",Low unemployment,Recent labor momentum,Economic diversity,Category demand footprint,Category location density,0.10000000000000009,8344032,92733,3.9
"Houston-Pasadena-The Woodlands, TX",TX,South,restaurant,Restaurant / Food Service,31.32731903113639,134,Medium,Selective Expansion Bet,"Worth evaluating carefully, but not a top-priority entry market.",0.3525371432976335,0.22165730001006825,39.702639032282015,67.99999999999999,"Selective Expansion Bet: strongest signals are low unemployment and economic diversity, while the main watchout is business density.",Low unemployment,Economic diversity,Recent labor momentum,Business density,Category location density,0.20000000000000018,7796182,81417,4.4
"Miami-Fort Lauderdale-West Palm Beach, FL",FL,South,restaurant,Restaurant / Food Service,20.46908491690291,170,Medium,Selective Expansion Bet,"Worth evaluating carefully, but not a top-priority entry market.",0.1795377036756347,0.26338152198694936,27.96270390951384,60.0,"Selective Expansion Bet: strongest signals are low unemployment and recent labor momentum, while the main watchout is payroll efficiency.",Low unemployment,Recent labor momentum,Business density,Payroll efficiency,Category demand footprint,0.3999999999999999,6457988,80625,2.9
"Washington-Arlington-Alexandria, DC-VA-MD-WV",DC,South,restaurant,Restaurant / Food Service,69.60255626957061,25,High,White-Space Opportunity,Strong overall market with room for category expansion.,0.9054545454545455,0.20735793625841442,64.61946401872662,55.99999999999999,"White-Space Opportunity: strongest signals are low unemployment and affluent demand, while the main watchout is category demand footprint.",Low unemployment,Affluent demand,Recent labor momentum,Category demand footprint,Economic diversity,0.5,6437907,126244,3.0
"Atlanta-Sandy Springs-Roswell, GA",GA,South,restaurant,Restaurant / Food Service,64.16725097857363,38,High,White-Space Opportunity,Strong overall market with room for category expansion.,0.822121212121212,0.2206255376696263,62.757914207407296,68.0,"White-Space Opportunity: strongest signals are low unemployment and recent labor momentum, while the main watchout is category demand footprint.",Low unemployment,Recent labor momentum,Economic diversity,Category demand footprint,Payroll efficiency,0.19999999999999973,6409047,92344,3.4
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",PA,Northeast,restaurant,Restaurant / Food Service,48.564793762213064,95,High,White-Space Opportunity,Strong overall market with room for category expansion.,0.6244725382414309,0.16172386951043025,55.9639644933371,72.0,"White-Space Opportunity: strongest signals are low unemployment and recent labor momentum, while the main watchout is category demand footprint.",Low unemployment,Recent labor momentum,Economic diversity,Category demand footprint,Payroll efficiency,0.09999999999999964,6330422,90850,3.8
"Phoenix-Mesa-Chandler, AZ",AZ,West,restaurant,Restaurant / Food Service,22.564335291303284,162,Medium,Selective Expansion Bet,"Worth evaluating carefully, but not a top-priority entry market.",0.23497295469912105,0.20387428207882707,36.03277267904854,75.99999999999999,"Selective Expansion Bet: strongest signals are low unemployment and recent labor momentum, while the main watchout is category location density.",Low unemployment,Recent labor momentum,Economic diversity,Category location density,Category demand footprint,0.0,5186958,90133,3.2
"Boston-Cambridge-Newton, MA-NH",MA,Northeast,restaurant,Restaurant / Food Service,73.840237883385,11,High,White-Space Opportunity,Strong overall market with room for category expansion.,0.96,0.22134126277950045,67.4053406905441,55.99999999999999,"White-Space Opportunity: strongest signals are low unemployment and economic diversity, while the main watchout is category demand footprint.",Low unemployment,Economic diversity,Affluent demand,Category demand footprint,Business density,0.5,5025517,117825,3.7
"Riverside-San Bernardino-Ontario, CA",CA,West,restaurant,Restaurant / Food Service,7.266597345998763,332,Low,Selective Expansion Bet,"Worth evaluating carefully, but not a top-priority entry market.",0.0,0.2422199115332921,18.81597004115848,55.99999999999999,"Selective Expansion Bet: strongest signals are low unemployment and economic diversity, while the main watchout is payroll efficiency.",Low unemployment,Economic diversity,Recent labor momentum,Payroll efficiency,Business density,0.5,4744214,91013,5.2
"San Francisco-Oakland-Fremont, CA",CA,West,restaurant,Restaurant / Food Service,78.23681775289127,2,High,White-Space Opportunity,Strong overall market with room for category expansion.,1.0,0.27456059176304226,66.44156054561249,51.99999999999999,"White-Space Opportunity: strongest signals are low unemployment and affluent demand, while the main watchout is category demand footprint.",Low unemployment,Affluent demand,Payroll efficiency,Category demand footprint,Business density,0.6000000000000001,4648486,135590,4.2
"Detroit-Warren-Dearborn, MI",MI,Midwest,restaurant,Restaurant / Food Service,16.36033213448073,195,Medium,Selective Expansion Bet,"Worth evaluating carefully, but not a top-priority entry market.",0.15628896530540054,0.18067015210342308,24.25095824481378,40.0,"Selective Expansion Bet: strongest signals are low unemployment and economic diversity, while the main watchout is category demand footprint.",Low unemployment,Economic diversity,Recent labor momentum,Category demand footprint,Affluent demand,0.8999999999999999,4400578,76403,4.5
"Seattle-Tacoma-Bellevue, WA",WA,West,restaurant,Restaurant / Food Service,73.8821735312893,10,High,White-Space Opportunity,Strong overall market with room for category expansion.,0.96,0.22273911770964333,69.44684499187245,67.99999999999999,"White-Space Opportunity: strongest signals are low unemployment and recent labor momentum, while the main watchout is category demand footprint.",Low unemployment,Recent labor momentum,Economic diversity,Category demand footprint,Category location density,0.20000000000000018,4145494,112388,4.2
"Minneapolis-St. Paul-Bloomington, MN-WI",MN,Midwest,restaurant,Restaurant / Food Service,63.369527816958836,41,High,White-Space Opportunity,Strong overall market with room for category expansion.,0.8429241952166112,0.1454944717265355,66.26864815091176,64.0,"White-Space Opportunity: strongest signals are low unemployment and economic diversity, while the main watchout is category demand footprint.",Low unemployment,Economic diversity,Recent labor momentum,Category demand footprint,Category location density,0.2999999999999998,3757952,97928,2.9
"Tampa-St. Petersburg-Clearwater, FL",FL,South,restaurant,Restaurant / Food Service,54.81429921570798,69,High,White-Space Opportunity,Strong overall market with room for category expansion.,0.7014558051822058,0.1904130950984525,54.351634964805726,55.99999999999999,"White-Space Opportunity: strongest signals are low unemployment and recent labor momentum, while the main watchout is category demand footprint.",Low unemployment,Recent labor momentum,Economic diversity,Category demand footprint,Payroll efficiency,0.5,3424560,78275,3.5
"San Diego-Chula Vista-Carlsbad, CA",CA,West,restaurant,Restaurant / Food Service,62.59068847020631,44,High,Established Leader,"Best for immediate entry into a proven, already-validated market.",0.7597402597402597,0.3136290096129381,52.09305929649072,52.000000000000014,"Established Leader: strongest signals are low unemployment and recent labor momentum, while the main watchout is category demand footprint.",Low unemployment,Recent labor momentum,Economic diversity,Category demand footprint,Payroll efficiency,0.5999999999999996,3298799,109132,4.3
"Denver-Aurora-Centennial, CO",CO,West,restaurant,Restaurant / Food Service,74.51124631888749,6,High,White-Space Opportunity,Strong overall market with room for category expansion.,0.96,0.2437082106295829,61.726804207268124,36.0,"White-Space Opportunity: strongest signals are low unemployment and economic diversity, while the main watchout is category demand footprint.",Low unemployment,Economic diversity,Affluent demand,Category demand footprint,Payroll efficiency,1.0,3050512,108046,4.2
"Orlando-Kissimmee-Sanford, FL",FL,South,restaurant,Restaurant / Food Service,18.77170749665326,177,Medium,Selective Expansion Bet,"Worth evaluating carefully, but not a top-priority entry market.",0.13330628803245437,0.3146755778127152,25.47752674115416,60.0,"Selective Expansion Bet: strongest signals are low unemployment and economic diversity, while the main watchout is payroll efficiency.",Low unemployment,Economic diversity,Recent labor momentum,Payroll efficiency,Affluent demand,0.3999999999999999,2940513,81044,3.3
"Charlotte-Concord-Gastonia, NC-SC",NC,South,restaurant,Restaurant / Food Service,60.41022321778906,50,High,White-Space Opportunity,Strong overall market with room for category expansion.,0.7764069264069263,0.20205794564347415,60.60610445708112,63.99999999999998,"White-Space Opportunity: strongest signals are low unemployment and economic diversity, while the main watchout is category demand footprint.",Low unemployment,Economic diversity,Recent labor momentum,Category demand footprint,Payroll efficiency,0.30000000000000027,2883370,85938,3.6
"Baltimore-Columbia-Towson, MD",MD,South,restaurant,Restaurant / Food Service,50.490893896724366,90,High,Selective Expansion Bet,"Worth evaluating carefully, but not a top-priority entry market.",0.6392857142857142,0.19136312989081217,48.32779464253319,40.0,"Selective Expansion Bet: strongest signals are low unemployment and economic diversity, while the main watchout is category demand footprint.",Low unemployment,Economic diversity,Affluent demand,Category demand footprint,Payroll efficiency,0.8999999999999999,2859024,98666,3.1
"San Antonio-New Braunfels, TX",TX,South,restaurant,Restaurant / Food Service,15.235838008845526,205,Medium,Selective Expansion Bet,"Worth evaluating carefully, but not a top-priority entry market.",0.10525198938992042,0.2622732917183699,27.62192317981813,72.0,"Selective Expansion Bet: strongest signals are low unemployment and recent labor momentum, while the main watchout is payroll efficiency.",Low unemployment,Recent labor momentum,Economic diversity,Payroll efficiency,Business density,0.09999999999999964,2763006,78112,3.8
"Austin-Round Rock-San Marcos, TX",TX,South,restaurant,Restaurant / Food Service,75.65605184964232,5,High,White-Space Opportunity,Strong overall market with room for category expansion.,0.96,0.2818683949880777,68.5269693298593,75.99999999999999,"White-Space Opportunity: strongest signals are low unemployment and recent labor momentum, while the main watchout is category demand footprint.",Low unemployment,Recent labor momentum,Economic diversity,Category demand footprint,Category location density,0.0,2550637,99897,3.5
"Portland-Vancouver-Hillsboro, OR-WA",OR,West,restaurant,Restaurant / Food Service,62.21739310379243,46,High,White-Space Opportunity,Strong overall market with room for category expansion.,0.7764069264069263,0.2622969418435863,56.29953954260645,55.99999999999999,"White-Space Opportunity: strongest signals are low unemployment and economic diversity, while the main watchout is category demand footprint.",Low unemployment,Economic diversity,Recent labor momentum,Category demand footprint,Payroll efficiency,0.5,2537070,98994,4.0
"Sacramento-Roseville-Folsom, CA",CA,West,restaurant,Restaurant / Food Service,20.129556259495224,172,Medium,Selective Expansion Bet,"Worth evaluating carefully, but not a top-priority entry market.",0.17497295469912433,0.26271498101855073,27.491615728842213,55.99999999999999,"Selective Expansion Bet: strongest signals are low unemployment and economic diversity, while the main watchout is payroll efficiency.",Low unemployment,Economic diversity,Recent labor momentum,Payroll efficiency,Category demand footprint,0.5,2463127,98775,4.7
"Pittsburgh, PA",PA,Northeast,restaurant,Restaurant / Food Service,45.41365587956645,106,High,White-Space Opportunity,Strong overall market with room for category expansion.,0.5617212758952188,0.203105552230038,53.16404035098565,80.0,"White-Space Opportunity: strongest signals are low unemployment and recent labor momentum, while the main watchout is category demand footprint.",Low unemployment,Recent labor momentum,Economic diversity,Category demand footprint,Payroll efficiency,-0.10000000000000009,2429917,77214,3.6
"Las Vegas-Henderson-North Las Vegas, NV",NV,West,restaurant,Restaurant / Food Service,18.12533597449297,183,Medium,Niche Cluster Bet,"Specialized category strength exists, but broader market support is thinner.",0.0,0.6041778658164324,14.773181300707723,60.00000000000001,"Niche Cluster Bet: strongest signals are category demand footprint and low unemployment, while the main watchout is payroll efficiency.",Category demand footprint,Low unemployment,Recent labor momentum,Payroll efficiency,Affluent demand,0.39999999999999947,2398871,80028,5.8
"Cincinnati, OH-KY-IN",OH,Midwest,restaurant,Restaurant / Food Service,49.43924686662603,93,High,Selective Expansion Bet,"Worth evaluating carefully, but not a top-priority entry market.",0.6188331108077474,0.204030970336124,48.889998316623775,47.99999999999999,"Selective Expansion Bet: strongest signals are low unemployment and economic diversity, while the main watchout is category demand footprint.",Low unemployment,Economic diversity,Recent labor momentum,Category demand footprint,Payroll efficiency,0.7000000000000002,2304804,81489,4.2
"Kansas City, MO-KS",MO,Midwest,restaurant,Restaurant / Food Service,67.19107031023083,35,High,White-Space Opportunity,Strong overall market with room for category expansion.,0.880952380952381,0.18414678811880525,63.87253472731244,51.99999999999999,"White-Space Opportunity: strongest signals are low unemployment and economic diversity, while the main watchout is category demand footprint.",Low unemployment,Economic diversity,Recent labor momentum,Category demand footprint,Payroll efficiency,0.6000000000000001,2254288,83785,3.6
"Columbus, OH",OH,Midwest,restaurant,Restaurant / Food Service,30.63639563230162,135,Medium,Selective Expansion Bet,"Worth evaluating carefully, but not a top-priority entry market.",0.3492586689848353,0.20627629344543832,35.67522217971133,47.99999999999999,"Selective Expansion Bet: strongest signals are low unemployment and economic diversity, while the main watchout is category demand footprint.",Low unemployment,Economic diversity,Recent labor momentum,Category demand footprint,Payroll efficiency,0.7000000000000002,2225377,82938,4.0
"Indianapolis-Carmel-Greenwood, IN",IN,Midwest,restaurant,Restaurant / Food Service,53.789654531589235,73,High,White-Space Opportunity,Strong overall market with room for category expansion.,0.680952380952381,0.20409959549741913,51.91243775017265,48.00000000000001,"White-Space Opportunity: strongest signals are low unemployment and economic diversity, while the main watchout is category demand footprint.",Low unemployment,Economic diversity,Recent labor momentum,Category demand footprint,Payroll efficiency,0.6999999999999997,2173288,80239,3.8
"Cleveland, OH",OH,Midwest,restaurant,Restaurant / Food Service,24.275839219100526,154,Medium,Selective Expansion Bet,"Worth evaluating carefully, but not a top-priority entry market.",0.2614596960467267,0.19912201652765532,36.91752545695871,72.0,"Selective Expansion Bet: strongest signals are low unemployment and recent labor momentum, while the main watchout is category demand footprint.",Low unemployment,Recent labor momentum,Economic diversity,Category demand footprint,Affluent demand,0.09999999999999964,2171877,72532,3.8
"Nashville-Davidson--Murfreesboro--Franklin, TN",TN,South,restaurant,Restaurant / Food Service,52.15359827468562,83,High,White-Space Opportunity,Strong overall market with room for category expansion.,0.6366753126279874,0.2528775463575503,53.15826423803832,68.0,"White-Space Opportunity: strongest signals are low unemployment and economic diversity, while the main watchout is category demand footprint.",Low unemployment,Economic diversity,Recent labor momentum,Category demand footprint,Payroll efficiency,0.19999999999999973,2151715,88800,2.8
